Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week,Purchased
65,7/1/2019,male,100,black,0,swirl,yes,Not Reported,yes,1,1
66,7/1/2019,male,100,silver,4,specialty,yes,Not Reported,yes,7,1
67,7/1/2019,female,100,white,6,no preference,yes,Not Reported,yes,10,0
68,7/1/2019,male,100,red,4,vanilla,yes,Not Reported,yes,5,1
69,7/1/2019,female,100,white,5,chocolate,yes,Not Reported,yes,6,1
70,7/1/2019,male,100,white,7,chocolate,yes,Not Reported,yes,10,1
71,7/1/2019,male,100,white,7,chocolate,yes,<100K,yes,10,1
72,7/1/2019,male,100,red,4,chocolate,yes,<100K,yes,5,1
73,7/1/2019,female,100,white,4,chocolate,yes,<100K,yes,5,1
74,7/1/2019,male,100,blue,9,chocolate,yes,<100K,yes,9,1
75,7/1/2019,male,100,white,0,chocolate,yes,<100K,yes,6,1
76,7/1/2019,female,100,white,3,chocolate,yes,<100K,yes,9,1
77,7/1/2019,female,100,silver,10,chocolate,yes,<100K,yes,10,1
78,7/1/2019,female,100,silver,3,chocolate,yes,<100K,yes,7,1
79,7/1/2019,male,100,silver,2,chocolate,yes,<100K,yes,10,1
80,7/1/2019,male,100,white,1,chocolate,yes,<100K,yes,8,1
81,7/1/2019,male,100,red,0,chocolate,yes,<100K,yes,5,1
82,7/1/2019,male,100,silver,4,chocolate,yes,<100K,yes,10,1
83,7/1/2019,male,100,no preference,2,chocolate,yes,<100K,yes,8,0
84,7/1/2019,male,100,silver,0,chocolate,yes,<100K,yes,8,1
85,7/1/2019,female,100,no preference,2,chocolate,yes,<100K,yes,9,0
86,7/1/2019,female,100,silver,8,chocolate,yes,Not Reported,yes,10,1
87,7/1/2019,female,100,no preference,6,chocolate,yes,Not Reported,yes,6,0
88,7/1/2019,female,100,red,10,vanilla,yes,Not Reported,yes,10,1
89,7/1/2019,male,100,silver,10,swirl,yes,Not Reported,yes,10,1
90,7/1/2019,male,100,no preference,2,chocolate,yes,Not Reported,yes,6,0
91,7/1/2019,male,100,blue,5,no preference,yes,Not Reported,yes,5,0
92,7/1/2019,male,100,blue,1,chocolate,yes,Not Reported,yes,6,1
93,7/1/2019,male,100,blue,3,vanilla,yes,Not Reported,yes,7,0
94,7/1/2019,male,100,no preference,10,vanilla,yes,Not Reported,yes,10,0
95,7/1/2019,male,100,blue,10,no preference,yes,Not Reported,yes,10,1
96,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,6,1
97,7/1/2019,female,100,blue,6,vanilla,yes,<100K,yes,6,1
98,7/1/2019,female,100,white,8,vanilla,yes,<100K,yes,8,1
99,7/1/2019,male,100,black,7,vanilla,yes,Not Reported,yes,9,1
100,7/1/2019,female,100,no preference,1,swirl,yes,<100K,yes,5,0
101,7/1/2019,female,100,red,5,specialty,yes,<100K,yes,5,0
102,7/1/2019,female,100,blue,9,specialty,yes,<100K,yes,10,1
103,7/1/2019,female,100,silver,8,specialty,yes,<100K,yes,8,1
104,7/1/2019,female,100,red,3,swirl,yes,<100K,yes,9,1
105,7/1/2019,male,100,silver,3,specialty,yes,Not Reported,yes,6,1
106,7/1/2019,male,100,blue,5,vanilla,yes,Not Reported,yes,5,0
107,7/1/2019,female,100,blue,0,vanilla,yes,<100K,yes,7,1
108,7/1/2019,female,100,no preference,5,vanilla,yes,<100K,yes,10,0
109,7/1/2019,male,100,no preference,7,vanilla,yes,Not Reported,yes,8,0
110,7/1/2019,female,100,no preference,2,vanilla,yes,<100K,yes,6,0
111,7/1/2019,female,100,silver,0,vanilla,yes,<100K,yes,2,1
112,7/1/2019,female,100,silver,6,vanilla,yes,<100K,yes,6,0
113,7/1/2019,male,100,red,6,vanilla,yes,Not Reported,no,6,0
114,7/1/2019,male,100,black,9,vanilla,yes,Not Reported,no,9,1
115,7/1/2019,female,100,red,6,vanilla,yes,<100K,yes,10,1
116,7/1/2019,male,100,white,9,vanilla,yes,Not Reported,yes,9,1
117,7/1/2019,female,100,blue,2,vanilla,yes,<100K,yes,5,1
118,7/1/2019,male,100,red,8,vanilla,yes,Not Reported,yes,8,1
119,7/1/2019,male,100,red,5,vanilla,yes,Not Reported,yes,5,0
120,7/1/2019,female,100,silver,0,vanilla,yes,<100K,yes,10,1
121,7/1/2019,male,100,red,2,vanilla,yes,Not Reported,yes,7,0
122,7/1/2019,female,100,no preference,4,vanilla,yes,<100K,yes,4,0
123,7/1/2019,male,100,red,1,vanilla,yes,Not Reported,yes,5,0
124,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,7,1
125,7/1/2019,female,100,silver,1,vanilla,yes,<100K,yes,10,1
126,7/1/2019,female,100,black,9,vanilla,yes,<100K,yes,9,1
127,7/1/2019,female,100,red,0,vanilla,yes,<100K,yes,5,1
128,7/1/2019,female,100,no preference,10,vanilla,yes,<100K,yes,10,0
129,7/1/2019,female,100,silver,9,vanilla,yes,<100K,yes,9,1
130,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,10,1
131,7/1/2019,male,100,white,10,vanilla,yes,Not Reported,yes,10,1
132,7/1/2019,male,100,no preference,8,no preference,yes,Not Reported,yes,8,0
133,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,9,1
134,7/1/2019,male,100,white,7,swirl,yes,Not Reported,yes,7,1
135,7/1/2019,female,100,white,6,swirl,yes,<100K,yes,9,1
136,7/1/2019,male,100,silver,1,swirl,yes,Not Reported,yes,2,0
137,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,2,1
138,7/1/2019,female,100,no preference,10,swirl,yes,<100K,yes,10,0
139,7/1/2019,male,100,blue,8,swirl,yes,Not Reported,yes,8,1
140,7/1/2019,female,100,red,1,swirl,yes,<100K,yes,5,0
141,7/1/2019,male,100,blue,3,swirl,yes,Not Reported,yes,3,1
142,7/1/2019,male,100,silver,4,swirl,yes,Not Reported,yes,10,1
143,7/1/2019,male,100,silver,7,swirl,yes,Not Reported,yes,7,1
144,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,3,0
145,7/1/2019,female,100,black,7,swirl,yes,<100K,yes,9,1
146,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,4,0
147,7/1/2019,female,100,silver,2,swirl,yes,<100K,yes,9,1
148,7/1/2019,male,100,red,8,swirl,yes,Not Reported,yes,8,1
149,7/1/2019,male,100,no preference,5,swirl,yes,Not Reported,yes,7,0
150,7/1/2019,male,100,white,9,swirl,yes,Not Reported,yes,9,1
151,7/1/2019,female,100,blue,7,swirl,yes,<100K,yes,7,1
152,7/1/2019,male,100,white,9,swirl,yes,Not Reported,yes,9,1
153,7/1/2019,female,100,black,5,swirl,yes,<100K,yes,9,1
154,7/1/2019,female,100,black,1,swirl,yes,<100K,yes,8,1
155,7/1/2019,male,100,red,7,swirl,yes,Not Reported,yes,7,1
156,7/1/2019,male,100,black,0,swirl,yes,Not Reported,yes,7,0
157,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8,1
158,7/1/2019,female,100,no preference,5,swirl,yes,<100K,yes,5,0
159,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8,1
160,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,10,1
161,7/1/2019,male,100,black,5,swirl,yes,Not Reported,yes,9,1
162,7/1/2019,male,100,silver,5,swirl,yes,Not Reported,yes,5,0
163,7/1/2019,female,100,red,3,swirl,yes,<100K,yes,4,1
164,7/1/2019,male,100,no preference,3,swirl,yes,Not Reported,yes,10,0
165,7/1/2019,female,100,blue,6,swirl,yes,<100K,yes,6,1
166,7/1/2019,female,100,blue,10,swirl,yes,<100K,yes,10,1
167,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,4,1
168,7/1/2019,female,100,white,8,swirl,yes,<100K,yes,8,1
169,7/1/2019,female,100,red,10,swirl,yes,<100K,yes,10,1
170,7/1/2019,male,100,silver,5,swirl,yes,Not Reported,yes,5,0
171,7/1/2019,male,100,no preference,9,swirl,yes,Not Reported,yes,9,0
172,7/1/2019,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
173,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,9,1
174,7/1/2019,male,100,red,3,swirl,yes,Not Reported,yes,3,1
175,7/1/2019,female,100,red,4,swirl,yes,<100K,yes,6,0
176,7/1/2019,female,100,red,6,swirl,yes,<100K,yes,6,1
177,7/1/2019,male,100,no preference,3,swirl,yes,Not Reported,yes,9,0
178,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,4,1
179,7/1/2019,male,100,white,9,swirl,yes,Not Reported,yes,9,1
180,7/1/2019,female,100,white,1,swirl,yes,<100K,yes,6,0
181,7/1/2019,female,100,silver,8,swirl,yes,<100K,yes,9,1
182,7/1/2019,male,100,red,5,swirl,yes,Not Reported,yes,10,1
183,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,7,0
184,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8,1
185,7/1/2019,female,100,black,1,swirl,yes,<100K,yes,1,1
186,7/1/2019,male,100,silver,6,swirl,yes,Not Reported,yes,6,0
187,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,6,1
188,7/1/2019,male,100,silver,1,swirl,yes,Not Reported,yes,2,1
189,7/1/2019,female,100,white,8,swirl,yes,<100K,yes,8,1
190,7/1/2019,male,100,red,0,swirl,yes,Not Reported,yes,9,1
191,7/1/2019,female,100,white,9,swirl,yes,<100K,yes,9,1
192,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,7,0
193,7/1/2019,male,100,white,2,swirl,yes,Not Reported,yes,10,1
194,7/1/2019,female,100,white,4,swirl,yes,<100K,yes,4,1
195,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,2,0
196,7/1/2019,male,100,black,3,swirl,yes,Not Reported,yes,6,1
197,7/1/2019,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
198,7/1/2019,male,100,red,10,swirl,yes,Not Reported,yes,10,1
199,7/1/2019,female,100,white,7,swirl,yes,<100K,yes,7,0
200,7/1/2019,female,100,silver,0,swirl,yes,<100K,yes,1,0
201,7/1/2019,male,100,blue,8,swirl,yes,Not Reported,yes,8,1
202,7/1/2019,male,100,no preference,6,swirl,yes,Not Reported,yes,9,0
203,7/1/2019,male,100,black,7,swirl,yes,Not Reported,yes,7,1
204,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,8,1
205,7/1/2019,female,100,black,3,swirl,yes,<100K,yes,8,1
206,7/1/2019,female,100,black,10,swirl,yes,<100K,yes,10,1
207,7/1/2019,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
208,7/1/2019,male,100,blue,0,swirl,yes,Not Reported,yes,7,0
209,7/1/2019,female,100,black,9,swirl,yes,<100K,yes,9,1
210,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,2,0
211,7/1/2019,male,100,no preference,1,swirl,yes,Not Reported,yes,10,0
212,7/1/2019,male,100,blue,10,swirl,yes,Not Reported,yes,10,1
213,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,9,1
214,7/1/2019,male,100,no preference,0,swirl,yes,Not Reported,yes,1,0
215,7/1/2019,female,100,white,7,swirl,yes,<100K,yes,7,1
216,7/1/2019,male,100,white,6,swirl,yes,Not Reported,yes,7,0
217,7/1/2019,female,100,black,4,swirl,yes,<100K,yes,10,1
218,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,9,1
219,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,6,1
220,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,2,1
221,7/1/2019,male,100,white,8,swirl,yes,Not Reported,yes,8,1
222,7/1/2019,male,100,white,9,swirl,yes,Not Reported,yes,9,1
223,7/1/2019,female,100,no preference,10,swirl,yes,<100K,yes,10,0
224,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,6,1
225,7/1/2019,female,100,red,2,swirl,yes,<100K,yes,5,1
226,7/1/2019,female,100,silver,2,swirl,yes,<100K,yes,10,1
227,7/1/2019,female,100,black,7,swirl,yes,<100K,yes,7,0
228,7/1/2019,male,100,red,5,swirl,yes,Not Reported,yes,5,0
229,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,8,1
230,7/1/2019,female,100,white,1,swirl,yes,<100K,yes,4,1
231,7/1/2019,female,100,black,5,swirl,yes,<100K,yes,7,0
232,7/1/2019,female,100,blue,5,swirl,yes,<100K,yes,9,1
233,7/1/2019,male,100,black,6,swirl,yes,Not Reported,yes,6,0
234,7/1/2019,male,100,white,1,swirl,yes,Not Reported,yes,8,1
235,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6,1
236,7/1/2019,female,100,no preference,9,swirl,yes,<100K,yes,9,0
237,7/1/2019,female,100,red,9,swirl,yes,<100K,yes,9,1
238,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,3,0
239,7/1/2019,female,100,black,8,swirl,yes,<100K,yes,8,1
240,7/1/2019,female,100,silver,9,swirl,yes,<100K,yes,9,1
241,7/1/2019,male,100,red,10,swirl,yes,Not Reported,yes,10,1
242,7/1/2019,female,100,silver,7,swirl,yes,<100K,yes,7,1
243,7/1/2019,female,100,no preference,4,swirl,yes,<100K,yes,8,0
244,7/1/2019,male,100,white,10,swirl,yes,Not Reported,yes,10,1
245,7/1/2019,female,100,black,4,swirl,yes,<100K,yes,4,0
246,7/1/2019,male,100,silver,8,swirl,yes,Not Reported,yes,8,1
247,7/1/2019,male,100,white,7,swirl,yes,Not Reported,yes,7,1
248,7/1/2019,male,100,white,5,swirl,yes,Not Reported,yes,7,1
249,7/1/2019,male,100,no preference,4,swirl,yes,Not Reported,yes,4,0
250,7/1/2019,female,100,silver,3,swirl,yes,<100K,yes,5,1
251,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6,1
252,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,5,0
253,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,6,0
254,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,6,0
255,7/1/2019,male,100,silver,7,swirl,yes,Not Reported,yes,9,1
256,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,8,1
257,7/1/2019,female,100,red,4,swirl,yes,<100K,yes,6,1
258,7/1/2019,male,100,no preference,10,swirl,yes,Not Reported,yes,10,0
259,7/1/2019,female,100,red,5,swirl,yes,<100K,yes,5,0
260,7/1/2019,female,100,black,9,swirl,yes,<100K,yes,9,1
261,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,4,0
262,7/1/2019,male,100,silver,8,swirl,yes,Not Reported,yes,8,1
263,7/1/2019,female,100,no preference,4,swirl,yes,<100K,yes,7,0
264,7/1/2019,male,100,white,7,swirl,yes,Not Reported,yes,7,0
265,7/1/2019,female,100,white,6,swirl,yes,<100K,yes,6,0
266,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,5,1
267,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,6,1
268,7/1/2019,female,100,blue,9,swirl,yes,<100K,yes,9,1
269,7/1/2019,female,100,no preference,5,swirl,yes,<100K,yes,10,0
270,7/1/2019,male,100,no preference,7,swirl,yes,Not Reported,yes,7,0
271,7/1/2019,female,100,black,8,swirl,yes,<100K,yes,8,1
272,7/1/2019,female,100,no preference,8,swirl,yes,<100K,yes,10,0
273,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,5,0
274,7/1/2019,female,100,red,10,swirl,yes,<100K,yes,10,1
275,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,3,1
276,7/1/2019,female,100,white,10,swirl,yes,<100K,yes,10,1
277,7/1/2019,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
278,7/1/2019,male,100,blue,9,swirl,yes,Not Reported,yes,9,1
279,7/1/2019,male,100,silver,3,swirl,yes,Not Reported,yes,7,1
280,7/1/2019,female,100,red,6,swirl,yes,<100K,yes,6,1
281,7/1/2019,female,100,red,8,specialty,yes,<100K,yes,8,1
282,7/1/2019,female,100,no preference,3,chocolate,yes,<100K,yes,6,0
283,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,4,1
284,7/1/2019,female,100,blue,3,swirl,yes,<100K,yes,3,1
285,7/1/2019,male,100,no preference,8,no preference,yes,Not Reported,yes,8,0
286,7/1/2019,female,100,blue,2,specialty,yes,<100K,yes,3,0
287,7/1/2019,female,100,no preference,8,vanilla,yes,<100K,yes,8,0
288,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,10,1
289,7/1/2019,male,100,no preference,8,no preference,yes,Not Reported,yes,9,0
290,7/1/2019,male,100,white,9,specialty,yes,Not Reported,yes,9,1
291,7/1/2019,male,100,white,6,specialty,yes,Not Reported,yes,6,0
292,7/1/2019,female,100,black,2,swirl,yes,<100K,yes,8,1
293,7/1/2019,female,100,black,9,chocolate,yes,<100K,yes,9,1
294,7/1/2019,female,100,blue,4,vanilla,yes,<100K,yes,9,1
295,7/1/2019,female,100,blue,1,swirl,yes,<100K,yes,6,1
296,7/1/2019,female,100,no preference,4,chocolate,yes,<100K,yes,5,0
297,7/1/2019,female,100,silver,4,chocolate,yes,<100K,yes,7,1
298,7/1/2019,female,100,blue,10,specialty,yes,<100K,yes,10,1
299,7/1/2019,female,100,no preference,1,chocolate,yes,<100K,yes,6,0
300,7/1/2019,male,100,no preference,6,swirl,yes,Not Reported,yes,6,0
301,7/1/2019,male,100,black,7,chocolate,yes,Not Reported,yes,7,1
302,7/1/2019,male,100,no preference,9,no preference,yes,Not Reported,yes,9,0
303,7/1/2019,male,100,blue,7,vanilla,yes,Not Reported,yes,8,1
304,7/1/2019,female,100,silver,7,no preference,yes,<100K,yes,9,0
305,7/1/2019,female,100,blue,1,chocolate,yes,<100K,yes,8,1
306,7/1/2019,male,100,white,9,specialty,yes,Not Reported,yes,9,1
307,7/1/2019,female,100,no preference,10,vanilla,yes,<100K,yes,10,0
308,7/1/2019,male,100,no preference,4,swirl,yes,Not Reported,yes,6,0
309,7/1/2019,male,100,black,3,chocolate,yes,Not Reported,yes,6,1
310,7/1/2019,female,100,no preference,7,chocolate,yes,<100K,yes,7,0
311,7/1/2019,male,100,no preference,10,no preference,yes,Not Reported,yes,10,0
312,7/1/2019,female,100,silver,9,chocolate,yes,<100K,yes,9,1
313,7/1/2019,female,100,silver,6,chocolate,yes,<100K,yes,9,1
314,7/1/2019,female,100,silver,10,no preference,yes,<100K,yes,10,1
315,7/1/2019,female,100,red,1,chocolate,yes,<100K,yes,5,1
316,7/1/2019,female,100,blue,5,vanilla,yes,<100K,yes,5,0
317,7/1/2019,female,100,no preference,9,swirl,yes,<100K,yes,9,0
318,7/1/2019,female,100,silver,4,specialty,yes,<100K,yes,4,1
319,7/1/2019,male,100,blue,4,specialty,yes,Not Reported,yes,7,0
320,7/1/2019,male,100,silver,10,specialty,yes,Not Reported,yes,10,1
321,7/1/2019,female,100,black,10,chocolate,yes,<100K,yes,10,1
322,7/1/2019,female,100,red,4,no preference,yes,<100K,yes,6,0
323,7/1/2019,female,100,silver,5,no preference,yes,<100K,yes,5,0
324,7/1/2019,female,100,blue,4,vanilla,yes,<100K,yes,6,0
325,7/1/2019,male,100,blue,4,swirl,yes,Not Reported,yes,4,0
326,7/1/2019,male,100,black,1,specialty,yes,Not Reported,yes,10,1
327,7/1/2019,male,100,no preference,10,swirl,yes,Not Reported,yes,10,0
328,7/1/2019,female,100,no preference,2,specialty,yes,<100K,yes,3,0
329,7/1/2019,female,100,red,8,swirl,yes,<100K,yes,8,1
330,7/1/2019,female,100,white,1,vanilla,yes,<100K,yes,8,1
331,7/1/2019,female,100,black,2,chocolate,yes,<100K,yes,9,1
332,7/1/2019,female,100,no preference,2,no preference,yes,<100K,yes,5,0
333,7/1/2019,male,100,black,1,chocolate,yes,Not Reported,yes,5,1
334,7/1/2019,female,100,black,5,no preference,yes,<100K,yes,5,0
335,7/1/2019,female,100,no preference,9,vanilla,yes,<100K,yes,9,0
336,7/1/2019,female,100,no preference,0,chocolate,yes,<100K,yes,8,0
337,7/1/2019,female,100,no preference,5,specialty,yes,<100K,yes,5,0
338,7/1/2019,male,100,black,6,no preference,yes,Not Reported,yes,6,0
339,7/1/2019,female,100,white,10,no preference,yes,<100K,yes,10,1
340,7/1/2019,female,100,white,2,chocolate,yes,<100K,yes,6,1
341,7/1/2019,male,100,no preference,3,specialty,yes,Not Reported,yes,9,0
342,7/1/2019,male,100,white,1,specialty,yes,Not Reported,yes,6,0
343,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8,1
344,7/1/2019,female,100,silver,6,specialty,yes,<100K,yes,6,0
345,7/1/2019,male,100,white,6,no preference,no,Not Reported,yes,6,0
346,7/1/2019,male,100,silver,5,swirl,no,Not Reported,yes,7,0
347,7/1/2019,female,100,red,7,chocolate,no,<100K,yes,7,1
348,7/1/2019,male,100,no preference,9,no preference,no,Not Reported,yes,9,0
349,7/1/2019,male,100,black,4,no preference,no,Not Reported,yes,6,0
350,7/1/2019,male,100,white,3,chocolate,no,Not Reported,yes,8,1
351,7/1/2019,female,100,white,0,no preference,yes,<100K,yes,2,0
352,7/1/2019,male,100,black,9,no preference,no,Not Reported,yes,9,0
353,7/1/2019,male,100,silver,5,chocolate,yes,Not Reported,yes,5,1
354,7/1/2019,male,100,no preference,3,no preference,yes,Not Reported,yes,8,0
355,7/1/2019,male,100,blue,7,chocolate,yes,Not Reported,yes,7,1
356,7/1/2019,male,100,black,0,chocolate,yes,Not Reported,yes,5,1
357,7/1/2019,male,100,white,8,swirl,no,Not Reported,yes,8,1
358,7/1/2019,male,100,blue,5,no preference,no,Not Reported,yes,5,0
359,7/1/2019,female,100,no preference,3,chocolate,yes,<100K,yes,10,0
360,7/1/2019,female,100,red,1,chocolate,yes,<100K,yes,10,1
361,7/1/2019,male,100,white,0,no preference,yes,Not Reported,yes,4,1
362,7/1/2019,female,100,silver,9,swirl,yes,<100K,yes,9,1
363,7/1/2019,male,100,black,0,no preference,yes,Not Reported,yes,4,0
364,7/1/2019,female,100,blue,2,swirl,yes,<100K,yes,5,0
365,7/1/2019,female,100,black,7,chocolate,yes,<100K,yes,9,1
366,7/1/2019,female,100,blue,8,specialty,yes,<100K,yes,9,1
367,7/1/2019,female,100,silver,0,chocolate,yes,<100K,yes,7,1
368,7/1/2019,male,100,white,0,chocolate,yes,Not Reported,yes,5,1
369,7/1/2019,female,100,red,10,chocolate,yes,<100K,yes,10,1
370,7/1/2019,male,100,black,2,no preference,no,Not Reported,yes,6,0
371,7/1/2019,male,100,black,7,swirl,yes,Not Reported,yes,9,1
372,7/1/2019,male,100,red,5,no preference,yes,Not Reported,yes,5,0
373,7/1/2019,male,100,white,5,vanilla,no,Not Reported,yes,5,0
